pipeline_version,n,d,C,repeat,method,runtime_sec,n_times_d,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,ridge_lambda,huber_delta,residual_mode,effective_delta_on_l2_norm,error
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,1,AIME,0.00021829106844961643,20000,X ~= Y A^T,SVD normal-system solve,4.69123988619873,4.69123988619873,71.05942056411207,71.05942056411207,333.3567880405328,333.3567880405328,71.05942056411205,3.3335678804053294e-10,4.684304620245338,1,True,1.0,0.0,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,1,HuberAIME,0.0006398339755833149,20000,X ~= Y A^T,SVD normal-system solve,4.677212393819218,4.677212393819218,69.0186327686485,69.0186327686485,322.81480458998,322.81480458998,69.0186327686485,3.228148045899801e-10,4.544616312847179,5,True,0.9683633130340279,0.048,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,1,RidgeAIME,0.000208917073905468,20000,X ~= Y A^T,SVD normal-system solve,4.69123988619873,4.690720501088102,71.05942056411207,71.06942056411206,333.3567880405328,333.3667880405328,71.06942056411205,3.33366788040533e-10,4.68377047044582,1,True,1.0,0.0,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,1,HuberRidgeAIME,0.0006298749940469861,20000,X ~= Y A^T,SVD normal-system solve,4.677212388518747,4.676679680239552,69.01863221999527,69.02863221999526,322.81480165798104,322.824801657981,69.0286322199953,3.2282480165798103e-10,4.544086866669269,5,True,0.9683633042355524,0.048,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,2,AIME,0.00021691597066819668,20000,X ~= Y A^T,SVD normal-system solve,4.769605314006219,4.769605314006219,69.89746026887288,69.89746026887288,333.3832979339546,333.3832979339546,69.89746026887282,3.333832979339545e-10,4.113148058574097,1,True,1.0,0.0,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,2,HuberAIME,0.0006307909497991204,20000,X ~= Y A^T,SVD normal-system solve,4.739650326506491,4.739650326506491,68.2943480281077,68.2943480281077,323.6913289299686,323.6913289299686,68.29434802810773,3.236913289299686e-10,4.2294291055077995,5,True,0.9709154326718131,0.046,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,2,RidgeAIME,0.00020716700237244368,20000,X ~= Y A^T,SVD normal-system solve,4.769605314006219,4.769066086104146,69.89746026887288,69.90746026887287,333.3832979339546,333.3932979339546,69.90746026887285,3.333932979339547e-10,4.112745817663438,1,True,1.0,0.0,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,2,HuberRidgeAIME,0.0006280409870669246,20000,X ~= Y A^T,SVD normal-system solve,4.7396503556409515,4.739102857500258,68.29434804588418,68.30434804588417,323.69133100394185,323.70133100394185,68.30434804588415,3.2370133100394183e-10,4.229002457097999,5,True,0.9709154390193512,0.046,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,0,AIME,0.0004137080395594239,100000,X ~= Y A^T,SVD normal-system solve,4.591854509593114,4.591854509593114,72.6957060235723,72.6957060235723,333.80810553239576,333.80810553239576,72.6957060235723,3.338081055323958e-10,9.175947501716381,1,True,1.0,0.0,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,1000,100,3,0,HuberAIME,0.0013787499628961086,100000,X ~= Y A^T,SVD normal-system solve,4.581143268248151,4.581143268248151,70.21226402352956,70.21226402352956,321.65244067985424,321.65244067985424,70.21226402352957,3.2165244067985435e-10,8.98730824538678,5,True,0.9636437907403188,0.05,0.0,1.0,rms,10.0,
