pipeline_version,experiment_mode,subset,metric,role,direction,n_repeated_pairs,n_condition_clusters,HRA_mean,RidgeAIME_mean,HRA_minus_Ridge_cluster_mean,CI95_low,CI95_high,median_cluster_difference,wilcoxon_p_on_cluster_means
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,bootstrap_cosine_flat,self-consistency/stability,higher is better,135,27,0.9705216044800324,0.9425266931171429,0.02799491136288961,0.021012016176183045,0.03551588802344044,0.017616831305814616,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,irrelevant_decoy_mass_ratio,irrelevant-decoy attribution,lower is better,135,27,0.015800051071961824,0.018296372983140095,-0.002496321911178275,-0.0035591962330519954,-0.0015882915769939478,-0.0021457942193458808,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,irrelevant_decoy_topk_infiltration,irrelevant-decoy attribution,lower is better,135,27,0.0064197530864197536,0.021728395061728398,-0.015308641975308642,-0.025185185185185182,-0.0064197530864197536,0.0,0.006956476135331761
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,clone_mass_ratio,correlated-clone attribution redistribution,descriptive,135,27,0.14731105027501873,0.148430992025454,-0.0011199417504353052,-0.003250653853801907,0.00043514291260450625,0.0,0.34910194464272437
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,clone_topk_infiltration,correlated-clone attribution redistribution,descriptive,135,27,0.07842328042328042,0.08536684303350969,-0.006943562610229277,-0.015677469135802466,0.000843077601410934,-0.001999999999999999,0.02301506707475493
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,log10_cond_reg,conditioning diagnostic,lower is better,135,27,0.27453981383043485,0.2648443733157909,0.009695440514643945,0.006299200099003067,0.012945556100413163,0.010664879568637809,1.5929341316223145e-05
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,log10_coef_norm,regularization diagnostic,diagnostic only,135,27,0.982478299165427,1.011714836425222,-0.0292365372597952,-0.03616838417627784,-0.02290958302806812,-0.024751026307066583,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,clean_target_reconstruction_r2,clean-target inverse reconstruction,higher is better,135,27,0.2717099273919538,0.23459785170634306,0.037112075685610785,0.03233047363490618,0.0423716642492253,0.03308822245531355,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,clean_target_reconstruction_cosine,clean-target inverse reconstruction,higher is better,135,27,0.48640155338484453,0.45679675496532746,0.029604798419517093,0.024815273058701265,0.034660036686360474,0.025591893749446416,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,operator_cosine_flat,clean-reference operator recovery,higher is better,135,27,0.9876921386743444,0.9161376079267726,0.07155453074757152,0.051678809531995426,0.09334243172534316,0.040987756867223626,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,operator_spearman_global,clean-reference operator recovery,higher is better,135,27,0.9484411190645697,0.817370616531537,0.13107050253303265,0.09829144023147936,0.16584336326244634,0.10977602108036888,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,operator_topk_jaccard,clean-reference operator recovery,higher is better,135,27,0.63925117487209,0.391261438303062,0.24798973656902792,0.21926625456682217,0.277227970258156,0.23542585725248263,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,bootstrap_cosine_flat,self-consistency/stability,higher is better,135,27,0.9679346039511634,0.9203994847843733,0.047535119166790325,0.0378579739413511,0.05783122284804645,0.03719044519069237,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,irrelevant_decoy_mass_ratio,irrelevant-decoy attribution,lower is better,135,27,0.017504221156904285,0.021392759263793304,-0.0038885381068890184,-0.0052526293640934914,-0.0026110143112210225,-0.00323246482191226,4.470348358154297e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,irrelevant_decoy_topk_infiltration,irrelevant-decoy attribution,lower is better,135,27,0.007901234567901236,0.030123456790123456,-0.022222222222222227,-0.03506172839506173,-0.010864197530864197,0.0,0.0021572604979440565
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,clone_mass_ratio,correlated-clone attribution redistribution,descriptive,135,27,0.14817798076891237,0.14748516733026218,0.0006928134386501701,-0.0010675143862247144,0.0024077639424163687,0.0,0.21453736472050733
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,clone_topk_infiltration,correlated-clone attribution redistribution,descriptive,135,27,0.08137037037037037,0.07960141093474427,0.0017689594356261019,-0.004839506172839504,0.009090167548500878,0.0,0.875138580080403
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,log10_cond_reg,conditioning diagnostic,lower is better,135,27,0.2744295223142419,0.2626028127222451,0.011826709591996823,0.00754479119801577,0.016090149186506166,0.012615824121013702,5.488097667694092e-05
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.10,log10_coef_norm,regularization diagnostic,diagnostic only,135,27,0.9844550457829385,1.032091848573102,-0.0476368027901636,-0.059557582786038614,-0.03615823096906962,-0.04313296316620916,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,clean_target_reconstruction_r2,clean-target inverse reconstruction,higher is better,45,9,0.26849269837636236,0.22800363503625634,0.040489063340105914,0.029471929127707783,0.052367479091561205,0.03308822245531355,0.00390625
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,clean_target_reconstruction_cosine,clean-target inverse reconstruction,higher is better,45,9,0.48321304753127364,0.45198568331325617,0.03122736421801736,0.021316460201091774,0.04286806008921737,0.02498424300054771,0.00390625
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,operator_cosine_flat,clean-reference operator recovery,higher is better,45,9,0.9878941612252774,0.9179090205291702,0.06998514069610712,0.03751976506272181,0.10746553743794326,0.03620754925081158,0.00390625
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,operator_spearman_global,clean-reference operator recovery,higher is better,45,9,0.9500432721843572,0.8191781658380552,0.13086510634630213,0.07287289117796553,0.2000178751752968,0.10977602108036888,0.00390625
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,operator_topk_jaccard,clean-reference operator recovery,higher is better,45,9,0.6017755664814487,0.3690998792133984,0.2326756872680505,0.18351091728284713,0.28088123129402803,0.22132867132867134,0.00390625
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,bootstrap_cosine_flat,self-consistency/stability,higher is better,45,9,0.9677313828916508,0.9204795068229717,0.04725187606867949,0.03013625838261016,0.06597029511083602,0.03719044519069237,0.00390625
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,irrelevant_decoy_mass_ratio,irrelevant-decoy attribution,lower is better,45,9,0.015177566558916484,0.01776330363846137,-0.002585737079544885,-0.0040777465203240375,-0.001222423436707433,-0.0027781930196330708,0.0078125
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,irrelevant_decoy_topk_infiltration,irrelevant-decoy attribution,lower is better,45,9,0.0074074074074074086,0.01925925925925926,-0.011851851851851851,-0.023703703703703703,-0.002962962962962963,0.0,0.125
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,clone_mass_ratio,correlated-clone attribution redistribution,descriptive,45,9,0.26238513189427454,0.26198573878341747,0.000399393110856981,-0.004116574890942106,0.004120564768699509,0.0006273240345325504,0.42578125
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,clone_topk_infiltration,correlated-clone attribution redistribution,descriptive,45,9,0.09844444444444443,0.10147089947089945,-0.003026455026455026,-0.013386243386243385,0.009925925925925927,-0.002,0.4375
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,joint_high_stress,log10_cond_reg,conditioning diagnostic,lower is better,45,9,0.27161624554052494,0.2601313485879299,0.011484896952594928,0.004271978225214323,0.017733597727992385,0.013866736945400299,0.02734375
